name,nickname,lat,lon,exraid
Tribute to Youth,,52.128746,-106.655951,True
Trillium Fountain,,52.085965,-106.616514,False
Trinity Church,,52.134474,-106.676994,False
Twisted Gazing,,52.114844,-106.594163,False
Ukrainian Church,,52.125934,-106.684299,False
Umea Park,,52.16671,-106.634294,True
Umea Park Skate Park,,52.168505,-106.629066,True
Umea Park Tennis Courts,,52.16823,-106.628789,True
Umea Vast Park,,52.169779,-106.634572,True
Underworld Portal,,52.153379,-106.633287,False
Varley Park West Entrance,,52.141775,-106.553953,True
Vic Rempel Yards,,52.142079,-106.69427,False
Victoria Park,,52.118427,-106.68131,False
Vimy Memorial in Saskatoon,,52.124515,-106.659278,True
W P Bate School Memorial Plaque,,52.124387,-106.713287,False
Walkin' My Human,,52.119183,-106.656578,False
Wavy Track,,52.141116,-106.762716,False
Webb Surveys Geodetic Marker,,52.129239,-106.593881,False
West Portal Church,,52.144013,-106.720877,False
Westgate Alliance Church,,52.133908,-106.730125,False
Westmount Park,,52.133218,-106.686004,True
Westside Double Tunnel,,52.121447,-106.717793,True
Westwind Aviation Hanger 3A,,52.168533,-106.676712,False
White & Yellow Ghost,,52.126722,-106.675364,False
Wiggins Park North West Entrance ,,52.110095,-106.638126,True
Wildwood Hole 18,,52.111218,-106.579937,True
Wildwood Mennonite Church ,,52.107404,-106.599203,False
Wildwood Park North Entrance,,52.110301,-106.595629,True
Wildwood Park South,,52.106846,-106.596109,False
William A Reid Baseball Diamond One,,52.119973,-106.722196,False
William A. Reid Park West,,52.119749,-106.724684,True
Willow Grove Square 1,,52.148284,-106.556796,True
Windsor Chapel,,52.148692,-106.651461,False
Wine Glasses,,52.147178,-106.567844,False
Winter Fat Bike Trail Network Map,,52.100848,-106.753194,False
Wired Horse,,52.133129,-106.630843,False
WJL Harvey Park (south),,52.180162,-106.623033,True
WJL Harvey Park (west),,52.180517,-106.632972,False
Wooden Playground,Stonebridge playground,52.147816,-106.602461,False
